"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Ref**";"Version1.0.0.";1;"Val**";;;
2;",,,,,,,,,,,,,,,,,,,,";"buzzardLabel";21;"";;;
3;"R1,R2,R4,R5,R3";"0603R";5;"10k";;;
4;"K4";"DSHP03TS-S";1;"DSHP03TS-S";;;
5;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
6;"U1";"MQ";1;"MQ-X";;;
7;"C4";"0603C";1;"0.1uF";;;
8;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
9;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
10;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
11;"K3,K1";"easyC-connector";2;"easyC-SMD";;;
12;"JP2,JP1";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
13;"G***";"Symbol-Front-Air-Quality";1;"LOGO";;;
14;"C1,C2";"0805C";2;"CL10A226MPCNUBE";;;
15;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
16;"U4";"SOIC-14";1;"ATTINY404-SSNR";;;
17;"C3";"0805C";1;"C1608X7S1A475K080AC";;;
18;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
19;"U3";"tps613222a";1;"TPS613222A";;;
20;"D1";"0402LED";1;"purple";;;
21;"U2";"SOT-363";1;"NMOS-DUAL";;;
22;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
23;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
24;"R6";"0402R";1;"2k2";;;
